date,amount,merchant,description
2025-05-06,120.22,Target,Clothing and accessories
2025-06-22,282.28,Shell,Gas for car
2025-07-25,148.14,Apple,MacBook purchase for work
2025-02-10,679.93,Uber,Ride to office
2024-08-10,96.07,Amazon,Books and home items
2025-07-01,41.46,Walmart,Groceries and household supplies
2025-01-18,226.45,Uber,Ride to office
2025-04-21,606.0,Amazon,Books and home items
2025-03-29,206.85,Amazon,Books and home items
2024-10-17,704.31,Target,Clothing and accessories
2025-05-11,228.24,Walmart,Groceries and household supplies
2025-05-07,285.41,Netflix,Streaming subscription
2025-02-20,16.43,Southwest Airlines,Flight for vacation
2024-10-17,168.06,Best Buy,TV and electronics
2025-05-13,346.85,Walmart,Groceries and household supplies
2025-03-17,223.16,WeWork,Coworking space rental
2024-10-16,343.23,Best Buy,TV and electronics
2025-04-22,386.13,Uber,Ride to office
2025-03-21,849.02,Coursera,Online business course
2024-12-05,271.88,Netflix,Streaming subscription
2025-04-05,732.43,Delta Airlines,Flight to business conference
2024-12-08,133.58,Amazon,Books and home items
2024-09-10,88.01,Walmart,Groceries and household supplies
2025-02-11,831.11,Staples,Office supplies
2025-04-02,886.6,Netflix,Streaming subscription
2025-07-03,581.58,Coursera,Online business course
2024-12-28,78.86,Shell,Gas for car
2025-07-13,235.62,Target,Clothing and accessories
2025-01-04,985.37,Staples,Office supplies
2025-01-28,240.46,Southwest Airlines,Flight for vacation
2024-08-18,386.32,Uber,Ride to office
2025-06-22,639.33,Spotify,Monthly subscription
2025-06-01,171.03,Coursera,Online business course
2024-10-14,217.41,Coursera,Online business course
2025-04-10,704.8,Staples,Office supplies
2025-07-21,651.56,Target,Clothing and accessories
2024-09-19,638.63,Netflix,Streaming subscription
2025-05-15,731.84,Amazon,Books and home items
2025-06-21,467.64,WeWork,Coworking space rental
2024-08-06,989.63,Staples,Office supplies
2024-10-11,691.28,Target,Clothing and accessories
2024-10-01,687.77,Apple,MacBook purchase for work
2025-05-11,770.63,Southwest Airlines,Flight for vacation
2024-08-11,236.76,Delta Airlines,Flight to business conference
2025-02-02,807.0,Delta Airlines,Flight to business conference
2024-11-15,275.06,Walmart,Groceries and household supplies
2025-06-25,914.0,Apple,MacBook purchase for work
2024-09-11,877.6,Netflix,Streaming subscription
2024-12-08,220.5,Coursera,Online business course
2024-11-17,401.68,Spotify,Monthly subscription
2025-06-20,464.26,Target,Clothing and accessories
2025-07-15,148.23,Staples,Office supplies
2024-10-07,565.75,Shell,Gas for car
2024-10-25,749.54,Staples,Office supplies
2025-07-08,898.84,Walmart,Groceries and household supplies
2024-08-11,368.38,Walmart,Groceries and household supplies
2025-04-07,514.43,WeWork,Coworking space rental
2024-12-30,758.22,Uber,Ride to office
2024-10-03,118.55,Southwest Airlines,Flight for vacation
2025-05-15,168.38,Target,Clothing and accessories
2024-10-16,427.94,Target,Clothing and accessories
2025-03-18,390.92,Uber,Ride to office
2025-02-01,996.16,Netflix,Streaming subscription
2024-08-18,258.9,Amazon,Books and home items
2025-06-07,862.17,Amazon,Books and home items
2024-11-11,683.48,Delta Airlines,Flight to business conference
2025-03-26,684.89,Uber,Ride to office
2025-02-02,753.37,Amazon,Books and home items
2024-10-26,644.55,Best Buy,TV and electronics
2025-04-14,300.57,Uber,Ride to office
2024-10-10,459.19,WeWork,Coworking space rental
2024-10-11,877.09,Shell,Gas for car
2025-07-27,972.17,Staples,Office supplies
2025-02-26,186.87,Best Buy,TV and electronics
2024-09-11,871.81,Uber,Ride to office
2025-06-20,843.25,Staples,Office supplies
2024-08-23,612.88,Amazon,Books and home items
2025-02-15,380.17,WeWork,Coworking space rental
2024-12-20,543.99,WeWork,Coworking space rental
2025-01-28,923.21,Best Buy,TV and electronics
2025-01-25,602.96,Delta Airlines,Flight to business conference
2025-03-12,29.28,Spotify,Monthly subscription
2024-08-04,879.93,Coursera,Online business course
2025-07-15,808.71,Southwest Airlines,Flight for vacation
2024-07-29,67.35,Apple,MacBook purchase for work
2024-12-06,947.48,Netflix,Streaming subscription
2025-01-03,734.59,Uber,Ride to office
2025-06-24,78.52,Southwest Airlines,Flight for vacation
2024-10-07,537.38,Best Buy,TV and electronics
2025-06-10,137.11,WeWork,Coworking space rental
2025-01-08,947.38,Spotify,Monthly subscription
2024-08-22,272.41,WeWork,Coworking space rental
2025-07-09,610.53,Southwest Airlines,Flight for vacation
2025-03-14,929.62,Apple,MacBook purchase for work
2025-04-28,732.63,Best Buy,TV and electronics
2024-12-12,715.82,Apple,MacBook purchase for work
2025-03-18,995.2,Walmart,Groceries and household supplies
2025-03-30,379.69,Target,Clothing and accessories
2025-06-23,456.97,Amazon,Books and home items
2025-06-03,232.45,Apple,MacBook purchase for work
2025-05-15,30.82,Coursera,Online business course
2025-05-28,237.81,Amazon,Books and home items
2024-12-28,17.12,Apple,MacBook purchase for work
2025-01-19,634.79,Shell,Gas for car
2025-03-13,76.73,Apple,MacBook purchase for work
2024-09-24,861.04,Delta Airlines,Flight to business conference
2025-07-10,519.01,Uber,Ride to office
2025-02-22,672.29,Staples,Office supplies
2025-04-26,543.84,Apple,MacBook purchase for work
2025-06-08,936.16,Shell,Gas for car
2025-03-30,580.45,Netflix,Streaming subscription
2025-01-02,786.77,Apple,MacBook purchase for work
2024-08-22,412.99,Best Buy,TV and electronics
2024-09-23,105.96,Uber,Ride to office
2025-02-04,360.75,Walmart,Groceries and household supplies
2025-04-19,472.35,Walmart,Groceries and household supplies
2024-08-12,63.63,Shell,Gas for car
2025-01-11,984.32,Target,Clothing and accessories
2024-11-06,70.01,Uber,Ride to office
2025-05-10,345.91,Shell,Gas for car
2024-12-07,118.18,Southwest Airlines,Flight for vacation
2024-08-07,198.31,Apple,MacBook purchase for work
2025-01-03,148.78,Spotify,Monthly subscription
2025-05-14,285.76,WeWork,Coworking space rental
2024-10-16,875.74,Apple,MacBook purchase for work
2024-08-05,448.7,Uber,Ride to office
2025-03-20,857.41,Southwest Airlines,Flight for vacation
2025-02-03,60.08,Uber,Ride to office
2024-12-10,837.67,Amazon,Books and home items
2025-06-21,927.1,Uber,Ride to office
2024-09-19,244.02,Southwest Airlines,Flight for vacation
2025-06-19,490.78,Walmart,Groceries and household supplies
2025-04-27,866.0,Apple,MacBook purchase for work
2024-10-01,172.99,Delta Airlines,Flight to business conference
2025-01-02,985.46,Delta Airlines,Flight to business conference
2025-01-20,927.25,Staples,Office supplies
2025-01-15,460.46,Best Buy,TV and electronics
2025-03-04,699.63,Walmart,Groceries and household supplies
2025-04-26,995.47,Shell,Gas for car
2024-10-03,665.25,Amazon,Books and home items
2024-12-28,163.25,Spotify,Monthly subscription
2025-05-03,225.52,Staples,Office supplies
2024-09-02,583.39,Delta Airlines,Flight to business conference
2024-12-15,70.35,Amazon,Books and home items
2024-09-04,66.59,Coursera,Online business course
2024-11-28,482.02,Netflix,Streaming subscription
2024-10-09,535.81,Southwest Airlines,Flight for vacation
2025-07-24,961.17,Delta Airlines,Flight to business conference
2025-03-06,852.83,Uber,Ride to office
2025-02-18,599.08,Uber,Ride to office
2025-01-20,863.2,Target,Clothing and accessories
2025-01-27,128.69,Walmart,Groceries and household supplies
2024-10-25,253.75,Netflix,Streaming subscription
2025-02-12,49.34,Netflix,Streaming subscription
2025-02-18,425.03,Uber,Ride to office
2025-07-02,569.57,Netflix,Streaming subscription
2024-11-16,935.36,Coursera,Online business course
2024-12-05,673.03,Apple,MacBook purchase for work
2025-04-18,246.3,Coursera,Online business course
2024-12-02,139.57,Walmart,Groceries and household supplies
2024-09-03,307.0,Target,Clothing and accessories
2025-01-18,929.73,Coursera,Online business course
2025-07-09,19.22,Uber,Ride to office
2024-08-15,998.47,Netflix,Streaming subscription
2025-02-05,82.53,Uber,Ride to office
2025-04-19,510.83,Apple,MacBook purchase for work
2025-04-07,933.93,WeWork,Coworking space rental
2024-11-04,880.48,Uber,Ride to office
2025-03-05,292.14,Coursera,Online business course
2025-01-14,835.41,Spotify,Monthly subscription
2024-11-11,309.49,Shell,Gas for car
2025-02-04,657.44,Best Buy,TV and electronics
2025-06-19,671.18,Delta Airlines,Flight to business conference
2025-06-11,306.38,Amazon,Books and home items
2025-07-04,112.55,Target,Clothing and accessories
2025-03-18,271.82,WeWork,Coworking space rental
2025-03-02,744.99,Uber,Ride to office
2025-01-23,279.62,WeWork,Coworking space rental
2025-04-19,218.52,Netflix,Streaming subscription
2025-07-14,211.56,Coursera,Online business course
2025-07-02,854.38,Target,Clothing and accessories
2024-10-16,493.65,Amazon,Books and home items
2025-02-15,60.29,Southwest Airlines,Flight for vacation
2025-07-14,429.34,Target,Clothing and accessories
2025-05-27,53.65,Staples,Office supplies
2025-07-18,773.41,Coursera,Online business course
2024-08-15,980.0,Target,Clothing and accessories
2024-12-01,743.82,WeWork,Coworking space rental
2024-08-16,708.61,Amazon,Books and home items
2025-02-21,19.57,Amazon,Books and home items
2024-08-18,945.6,Uber,Ride to office
2025-01-04,904.89,Shell,Gas for car
2024-12-24,45.67,Amazon,Books and home items
2025-03-25,586.68,Coursera,Online business course
2024-12-25,435.49,WeWork,Coworking space rental
2024-12-29,315.18,Delta Airlines,Flight to business conference
2025-04-08,972.47,Best Buy,TV and electronics
2024-07-31,899.94,Delta Airlines,Flight to business conference
2025-02-26,685.25,Apple,MacBook purchase for work
2025-06-15,111.77,Target,Clothing and accessories
2025-05-19,564.28,Best Buy,TV and electronics
2025-05-28,412.31,Southwest Airlines,Flight for vacation
2025-04-21,751.98,Netflix,Streaming subscription
2025-05-23,865.96,Apple,MacBook purchase for work
2025-03-01,812.66,Best Buy,TV and electronics
2024-08-27,34.54,Walmart,Groceries and household supplies
2024-12-17,925.24,Shell,Gas for car
2024-12-13,931.51,Best Buy,TV and electronics
2025-02-15,673.21,Best Buy,TV and electronics
2025-06-13,812.64,Shell,Gas for car
2024-11-15,167.61,Staples,Office supplies
2024-11-04,117.01,Shell,Gas for car
2024-10-06,48.34,Southwest Airlines,Flight for vacation
2025-01-05,230.21,Spotify,Monthly subscription
2024-12-24,919.27,Southwest Airlines,Flight for vacation
2025-02-12,312.14,Coursera,Online business course
2024-08-10,872.61,Best Buy,TV and electronics
2025-06-26,33.43,Apple,MacBook purchase for work
